"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"01586","北海道","胆振支庁","いぶりしちょう","むかわ町","むかわちょう","2006-03-27","有"
"01600","北海道","日高支庁","ひだかしちょう","","","","有"
"01601","北海道","日高支庁","ひだかしちょう","日高町","ひだかちょう","2006-03-01","有"
"01602","北海道","日高支庁","ひだかしちょう","平取町","びらとりちょう","",""
"01604","北海道","日高支庁","ひだかしちょう","新冠町","にいかっぷちょう","",""
"01607","北海道","日高支庁","ひだかしちょう","浦河町","うらかわちょう","",""
"01608","北海道","日高支庁","ひだかしちょう","様似町","さまにちょう","",""
"01609","北海道","日高支庁","ひだかしちょう","えりも町","えりもちょう","1970-10-01","有"
"01610","北海道","日高支庁","ひだかしちょう","新ひだか町","しんひだかちょう","2006-03-31","有"
"01630","北海道","十勝支庁","とかちしちょう","","","","有"
"01631","北海道","十勝支庁","とかちしちょう","音更町","おとふけちょう","",""
"01632","北海道","十勝支庁","とかちしちょう","士幌町","しほろちょう","",""
"01633","北海道","十勝支庁","とかちしちょう","上士幌町","かみしほろちょう","",""
"01634","北海道","十勝支庁","とかちしちょう","鹿追町","しかおいちょう","",""
"01635","北海道","十勝支庁","とかちしちょう","新得町","しんとくちょう","",""
"01636","北海道","十勝支庁","とかちしちょう","清水町","しみずちょう","",""
"01637","北海道","十勝支庁","とかちしちょう","芽室町","めむろちょう","",""
"01638","北海道","十勝支庁","とかちしちょう","中札内村","なかさつないむら","",""
"01639","北海道","十勝支庁","とかちしちょう","更別村","さらべつむら","","有"
"01641","北海道","十勝支庁","とかちしちょう","大樹町","たいきちょう","",""
"01642","北海道","十勝支庁","とかちしちょう","広尾町","ひろおちょう","",""
"01643","北海道","十勝支庁","とかちしちょう","幕別町","まくべつちょう","2006-02-06","有"
"01644","北海道","十勝支庁","とかちしちょう","池田町","いけだちょう","",""
"01645","北海道","十勝支庁","とかちしちょう","豊頃町","とよころちょう","",""
"01646","北海道","十勝支庁","とかちしちょう","本別町","ほんべつちょう","",""
"01647","北海道","十勝支庁","とかちしちょう","足寄町","あしょろちょう","",""
"01648","北海道","十勝支庁","とかちしちょう","陸別町","りくべつちょう","",""
"01649","北海道","十勝支庁","とかちしちょう","浦幌町","うらほろちょう","",""
"01660","北海道","釧路支庁","くしろしちょう","","","","有"
"01661","北海道","釧路支庁","くしろしちょう","釧路町","くしろちょう","1980-04-01","有"
"01662","北海道","釧路支庁","くしろしちょう","厚岸町","あっけしちょう","",""
"01663","北海道","釧路支庁","くしろしちょう","浜中町","はまなかちょう","",""
"01664","北海道","釧路支庁","くしろしちょう","標茶町","しべちゃちょう","",""
"01665","北海道","釧路支庁","くしろしちょう","弟子屈町","てしかがちょう","",""
"01667","北海道","釧路支庁","くしろしちょう","鶴居村","つるいむら","",""
"01668","北海道","釧路支庁","くしろしちょう","白糠町","しらぬかちょう","",""
"01690","北海道","根室支庁","ねむろしちょう","","","","有"
"01691","北海道","根室支庁","ねむろしちょう","別海町","べつかいちょう","1971-04-01","有"
"01692","北海道","根室支庁","ねむろしちょう","中標津町","なかしべつちょう","",""
"01693","北海道","根室支庁","ねむろしちょう","標津町","しべつちょう","",""
"01694","北海道","根室支庁","ねむろしちょう","羅臼町","らうすちょう","",""
"01695","北海道","根室支庁","ねむろしちょう","色丹村","しこたんむら","1983-04-01",""
"01696","北海道","根室支庁","ねむろしちょう","泊村","とまりむら","1983-04-01",""
"01697","北海道","根室支庁","ねむろしちょう","留夜別村","るよべつむら","1983-04-01",""
"01698","北海道","根室支庁","ねむろしちょう","留別村","るべつむら","1983-04-01",""
"01699","北海道","根室支庁","ねむろしちょう","紗那村","しゃなむら","1983-04-01",""
"01700","北海道","根室支庁","ねむろしちょう","蘂取村","しべとろむら","1983-04-01",""
"02201","青森県","","","青森市","あおもりし","2006-10-01","有"
"02202","青森県","","","弘前市","ひろさきし","2006-02-27","有"
"02203","青森県","","","八戸市","はちのへし","2005-03-31","有"
"02204","青森県","","","黒石市","くろいしし","1980-09-01","有"
"02205","青森県","","","五所川原市","ごしょがわらし","2005-12-01","有"
"02206","青森県","","","十和田市","とわだし","2005-01-01","有"
"02207","青森県","","","三沢市","みさわし","",""
"02208","青森県","","","むつ市","むつし","2005-03-14","有"
"02209","青森県","","","つがる市","つがるし","2005-02-11","有"
"02210","青森県","","","平川市","ひらかわし","2006-01-01","有"
"02300","青森県","東津軽郡","ひがしつがるぐん","","","",""
"02301","青森県","東津軽郡","ひがしつがるぐん","平内町","ひらないまち","",""
"02303","青森県","東津軽郡","ひがしつがるぐん","今別町","いまべつまち","",""
"02304","青森県","東津軽郡","ひがしつがるぐん","蓬田村","よもぎたむら","",""
"02307","青森県","東津軽郡","ひがしつがるぐん","外ヶ浜町","そとがはままち","2005-03-28","有"
"02320","青森県","西津軽郡","にしつがるぐん","","","",""
"02321","青森県","西津軽郡","にしつがるぐん","鰺ヶ沢町","あじがさわまち","1982-05-01","有"
"02323","青森県","西津軽郡","にしつがるぐん","深浦町","ふかうらまち","2005-03-31","有"
"02340","青森県","中津軽郡","なかつがるぐん","","","",""
"02343","青森県","中津軽郡","なかつがるぐん","西目屋村","にしめやむら","1975-09-01","有"
"02360","青森県","南津軽郡","みなみつがるぐん","","","",""
"02361","青森県","南津軽郡","みなみつがるぐん","藤崎町","ふじさきまち","2006-07-01","有"
"02362","青森県","南津軽郡","みなみつがるぐん","大鰐町","おおわにまち","1977-12-01","有"
"02367","青森県","南津軽郡","みなみつがるぐん","田舎館村","いなかだてむら","1979-12-01","有"
"02380","青森県","北津軽郡","きたつがるぐん","","","",""
"02381","青森県","北津軽郡","きたつがるぐん","板柳町","いたやなぎまち","2004-07-01","有"
"02384","青森県","北津軽郡","きたつがるぐん","鶴田町","つるたまち","1990-11-01","有"
"02387","青森県","北津軽郡","きたつがるぐん","中泊町","なかどまりまち","2005-03-28","有"
"02400","青森県","上北郡","かみきたぐん","","","",""
"02401","青森県","上北郡","かみきたぐん","野辺地町","のへじまち","",""
"02402","青森県","上北郡","かみきたぐん","七戸町","しちのへまち","2005-03-31","有"
"02405","青森県","上北郡","かみきたぐん","六戸町","ろくのへまち","1986-12-01","有"
"02406","青森県","上北郡","かみきたぐん","横浜町","よこはままち","",""
"02408","青森県","上北郡","かみきたぐん","東北町","とうほくまち","2005-03-31","有"
"02411","青森県","上北郡","かみきたぐん","六ヶ所村","ろっかしょむら","1991-12-01","有"
"02412","青森県","上北郡","かみきたぐん","おいらせ町","おいらせちょう","2006-03-01","有"
"02420","青森県","下北郡","しもきたぐん","","","",""
"02423","青森県","下北郡","しもきたぐん","大間町","おおままち","",""
"02424","青森県","下北郡","しもきたぐん","東通村","ひがしどおりむら","",""
"02425","青森県","下北郡","しもきたぐん","風間浦村","かざまうらむら","",""
"02426","青森県","下北郡","しもきたぐん","佐井村","さいむら","1986-03-17","有"
"02440","青森県","三戸郡","さんのへぐん","","","",""
"02441","青森県","三戸郡","さんのへぐん","三戸町","さんのへまち","1989-12-01","有"
"02442","青森県","三戸郡","さんのへぐん","五戸町","ごのへまち","2004-07-01","有"
"02443","青森県","三戸郡","さんのへぐん","田子町","たっこまち","1989-12-01","有"
"02445","青森県","三戸郡","さんのへぐん","南部町","なんぶちょう","2006-01-01","有"
"02446","青森県","三戸郡","さんのへぐん","階上町","はしかみちょう","1988-12-20","有"
"02450","青森県","三戸郡","さんのへぐん","新郷村","しんごうむら","1974-06-01","有"
"03201","岩手県","","","盛岡市","もりおかし","2006-01-10","有"
"03202","岩手県","","","宮古市","みやこし","2005-06-06","有"
"03203","岩手県","","","大船渡市","おおふなとし","2001-11-15","有"
"03205","岩手県","","","花巻市","はなまきし","2006-01-01","有"
"03206","岩手県","","","北上市","きたかみし","2003-04-01","有"
"03207","岩手県","","","久慈市","くじし","2006-03-06","有"
"03208","岩手県","","","遠野市","とおのし","2005-10-01","有"
"03209","岩手県","","","一関市","いちのせきし","2005-09-20","有"
"03210","岩手県","","","陸前高田市","りくぜんたかたし","",""
"03211","岩手県","","","釜石市","かまいしし","",""
"03213","岩手県","","","二戸市","にのへし","2006-01-01","有"
"03214","岩手県","","","八幡平市","はちまんたいし","2005-09-01","有"
"03215","岩手県","","","奥州市","おうしゅうし","2006-02-20","有"
"03300","岩手県","岩手郡","いわてぐん","","","",""
"03301","岩手県","岩手郡","いわてぐん","雫石町","しずくいしちょう","1972-03-01","有"
"03302","岩手県","岩手郡","いわてぐん","葛巻町","くずまきまち","",""
"03303","岩手県","岩手郡","いわてぐん","岩手町","いわてまち","2001-12-01","有"
"03305","岩手県","岩手郡","いわてぐん","滝沢村","たきざわむら","","有"
"03320","岩手県","紫波郡","しわぐん","","","",""
"03321","岩手県","紫波郡","しわぐん","紫波町","しわちょう","2000-07-01","有"
"03322","岩手県","紫波郡","しわぐん","矢巾町","やはばちょう","2000-07-01","有"
"03360","岩手県","和賀郡","わがぐん","","","",""
"03366","岩手県","和賀郡","わがぐん","西和賀町","にしわがまち","2005-11-01","有"
"03380","岩手県","胆沢郡","いさわぐん","","","",""
"03381","岩手県","胆沢郡","いさわぐん","金ケ崎町","かねがさきちょう","2003-04-01","有"
"03400","岩手県","西磐井郡","にしいわいぐん","","","",""
"03402","岩手県","西磐井郡","にしいわいぐん","平泉町","ひらいずみちょう","2004-10-01","有"
"03420","岩手県","東磐井郡","ひがしいわいぐん","","","","有"
"03422","岩手県","東磐井郡","ひがしいわいぐん","藤沢町","ふじさわちょう","","有"
"03440","岩手県","気仙郡","けせんぐん","","","",""
"03441","岩手県","気仙郡","けせんぐん","住田町","すみたちょう","",""
"03460","岩手県","上閉伊郡","かみへいぐん","","","",""
"03461","岩手県","上閉伊郡","かみへいぐん","大槌町","おおつちちょう","",""
"03480","岩手県","下閉伊郡","しもへいぐん","","","",""
"03482","岩手県","下閉伊郡","しもへいぐん","山田町","やまだまち","",""
"03483","岩手県","下閉伊郡","しもへいぐん","岩泉町","いわいずみちょう","",""
"03484","岩手県","下閉伊郡","しもへいぐん","田野畑村","たのはたむら","",""
"03485","岩手県","下閉伊郡","しもへいぐん","普代村","ふだいむら","",""
"03487","岩手県","下閉伊郡","しもへいぐん","川井村","かわいむら","","有"
"03500","岩手県","九戸郡","くのへぐん","","","",""
"03501","岩手県","九戸郡","くのへぐん","軽米町","かるまいまち","2000-04-01","有"
"03503","岩手県","九戸郡","くのへぐん","野田村","のだむら","",""
"03506","岩手県","九戸郡","くのへぐん","九戸村","くのへむら","2000-04-01","有"
"03507","岩手県","九戸郡","くのへぐん","洋野町","ひろのちょう","2006-01-01","有"
"03520","岩手県","二戸郡","にのへぐん","","","",""
"03524","岩手県","二戸郡","にのへぐん","一戸町","いちのへまち","",""
"04100","宮城県","仙台市","せんだいし","","","1998-12-01","有"
"04101","宮城県","仙台市","せんだいし","青葉区","あおばく","1989-04-01","有"
"04102","宮城県","仙台市","せんだいし","宮城野区","みやぎのく","1989-04-01","有"
"04103","宮城県","仙台市","せんだいし","若林区","わかばやしく","1989-04-01","有"
"04104","宮城県","仙台市","せんだいし","太白区","たいはくく","1989-04-01","有"
"04105","宮城県","仙台市","せんだいし","泉区","いずみく","1989-04-01","有"
"04202","宮城県","","","石巻市","いしのまきし","2005-04-01","有"
"04203","宮城県","","","塩竈市","しおがまし","1996-01-24","有"
"04205","宮城県","","","気仙沼市","けせんぬまし","2006-03-31","有"
"04206","宮城県","","","白石市","しろいしし","1980-03-01","有"
"04207","宮城県","","","名取市","なとりし","2001-06-29","有"
"04208","宮城県","","","角田市","かくだし","",""
"04209","宮城県","","","多賀城市","たがじょうし","1998-12-01","有"
"04211","宮城県","","","岩沼市","いわぬまし","2001-06-29","有"
"04212","宮城県","","","登米市","とめし","2006-10-01","有"
"04213","宮城県","","","栗原市","くりはらし","2006-10-01","有"
"04214","宮城県","","","東松島市","ひがしまつしまし","2005-04-01","有"
"04215","宮城県","","","大崎市","おおさきし","2007-01-15","有"
"04300","宮城県","刈田郡","かったぐん","","","",""
"04301","宮城県","刈田郡","かったぐん","蔵王町","ざおうまち","1980-03-01","有"
"04302","宮城県","刈田郡","かったぐん","七ヶ宿町","しちかしゅくまち","1984-11-30","有"
"04320","宮城県","柴田郡","しばたぐん","","","",""
"04321","宮城県","柴田郡","しばたぐん","大河原町","おおがわらまち","1996-11-20","有"
"04322","宮城県","柴田郡","しばたぐん","村田町","むらたまち","1996-11-20","有"
"04323","宮城県","柴田郡","しばたぐん","柴田町","しばたまち","1973-01-20","有"
"04324","宮城県","柴田郡","しばたぐん","川崎町","かわさきまち","",""
"04340","宮城県","伊具郡","いぐぐん","","","",""
"04341","宮城県","伊具郡","いぐぐん","丸森町","まるもりまち","",""
"04360","宮城県","亘理郡","わたりぐん","","","",""
"04361","宮城県","亘理郡","わたりぐん","亘理町","わたりちょう","1990-05-01","有"
"04362","宮城県","亘理郡","わたりぐん","山元町","やまもとちょう","1990-05-01","有"
"04400","宮城県","宮城郡","みやぎぐん","","","",""
"04401","宮城県","宮城郡","みやぎぐん","松島町","まつしままち","1995-09-11","有"
"04404","宮城県","宮城郡","みやぎぐん","七ヶ浜町","しちがはままち","1975-04-01","有"
"04406","宮城県","宮城郡","みやぎぐん","利府町","りふちょう","1996-01-24","有"
"04420","宮城県","黒川郡","くろかわぐん","","","",""
"04421","宮城県","黒川郡","くろかわぐん","大和町","たいわちょう","1999-12-01","有"
"04422","宮城県","黒川郡","くろかわぐん","大郷町","おおさとちょう","2003-03-01","有"
"04423","宮城県","黒川郡","くろかわぐん","富谷町","とみやまち","1999-12-01","有"
"04424","宮城県","黒川郡","くろかわぐん","大衡村","おおひらむら","1991-04-01","有"
"04440","宮城県","加美郡","かみぐん","","","",""
"04444","宮城県","加美郡","かみぐん","色麻町","しかまちょう","1991-04-01","有"
"04445","宮城県","加美郡","かみぐん","加美町","かみまち","2003-04-01","有"
"04500","宮城県","遠田郡","とおだぐん","","","",""
"04501","宮城県","遠田郡","とおだぐん","涌谷町","わくやちょう","2007-07-01","有"
"04505","宮城県","遠田郡","とおだぐん","美里町","みさとまち","2007-07-01","有"
"04580","宮城県","牡鹿郡","おしかぐん","","","",""
"04581","宮城県","牡鹿郡","おしかぐん","女川町","おながわちょう","",""
"04600","宮城県","本吉郡","もとよしぐん","","","",""
"04603","宮城県","本吉郡","もとよしぐん","本吉町","もとよしちょう","1993-02-01","有"
"04606","宮城県","本吉郡","もとよしぐん","南三陸町","みなみさんりくちょう","2005-10-01","有"
"05201","秋田県","","","秋田市","あきたし","2005-01-11","有"
"05202","秋田県","","","能代市","のしろし","2006-03-21","有"
"05203","秋田県","","","横手市","よこてし","2006-09-01","有"
"05204","秋田県","","","大館市","おおだてし","2005-06-20","有"
"05206","秋田県","","","男鹿市","おがし","2005-03-22","有"
"05207","秋田県","","","湯沢市","ゆざわし","2005-03-22","有"
"05209","秋田県","","","鹿角市","かづのし","1998-06-01","有"
"05210","秋田県","","","由利本荘市","ゆりほんじょうし","2005-03-22","有"
"05211","秋田県","","","潟上市","かたがみし","2005-03-22","有"
"05212","秋田県","","","大仙市","だいせんし","2006-09-01","有"
"05213","秋田県","","","北秋田市","きたあきたし","2005-03-22","有"
"05214","秋田県","","","にかほ市","にかほし","2005-10-01","有"
"05215","秋田県","","","仙北市","せんぼくし","2005-09-20","有"
"05300","秋田県","鹿角郡","かづのぐん","","","",""
"05303","秋田県","鹿角郡","かづのぐん","小坂町","こさかまち","1998-06-01","有"
